scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,628,bakkerij
bier-wijn-aperitieven,2991,1942,bier-wijn-aperitieven
borrel-chips-snacks,2694,1396,borrel-chips-snacks
diepvries,1184,288,diepvries
drogisterij,2989,2447,drogisterij
frisdrank-sappen-water,2072,1049,frisdrank-sappen-water
fruit-verse-sappen,533,276,fruit-verse-sappen
gezondheid-en-sport,1264,356,gezondheid-en-sport
glutenvrij,401,261,glutenvrij
groente-aardappelen,1095,318,groente-aardappelen
huishouden,1558,770,huishouden
kaas,1189,702,kaas
koek-snoep-chocolade,2807,1100,koek-snoep-chocolade
koffie-thee,1156,493,koffie-thee
koken-tafelen-vrije-tijd,1499,736,koken-tafelen-vrije-tijd
maaltijden-salades,835,523,maaltijden-salades
ontbijtgranen-beleg,2241,1158,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2009,877,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1253,soepen-sauzen-kruiden-olie
tussendoortjes,1246,653,tussendoortjes
vegetarisch-vegan-en-plantaardig,617,265,vegetarisch-vegan-en-plantaardig
vis,675,387,vis
vlees,1404,770,vlees
vleeswaren,1082,657,vleeswaren
zuivel-eieren,1893,872,zuivel-eieren
