scraped_aisle,items_found,aisle_eng
bakkerij,1199,bakery
bier-wijn-aperitieven,2239,beer-wine aperitifs
borrel-chips-snacks,1331,drinks-chips-snacks
diepvries,997,freezer
drogisterij,1999,drugstore
frisdrank-sappen-water,1454,soft drinks-juices-water
fruit-verse-sappen,424,fresh fruit juices
gezondheid-en-sport,1255,health-and-sports
glutenvrij,235,gluten free
groente-aardappelen,989,vegetable potatoes
huishouden,1153,households
kaas,689,cheese
koek-snoep-chocolade,2274,cookie-candy-chocolate
koffie-thee,960,coffee-tea
koken-tafelen-vrije-tijd,920,cooking-dining-free-time
maaltijden-salades,536,meals-salads
ontbijtgranen-beleg,1351,breakfast cereal toppings
pasta-rijst-wereldkeuken,1478,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2465,soups-sauces-herbs-oil
tussendoortjes,987,snacks
vegetarisch-vegan-en-plantaardig,492,vegetarian-vegan-and-plant-based
vis,382,fish
vlees,669,meat
vleeswaren,657,cold cuts
zuivel-eieren,1451,dairy eggs
