scraped_aisle,items_found,bonus_items,title_eng
bier-wijn-aperitieven,2232,1560,bier-wijn-aperitieven
diepvries,182,63,diepvries
frisdrank-sappen-water,1082,621,frisdrank-sappen-water
fruit-verse-sappen,531,271,fruit-verse-sappen
groente-aardappelen,1090,372,groente-aardappelen
huishouden,1011,641,huishouden
kaas,111,58,kaas
koek-snoep-chocolade,326,145,koek-snoep-chocolade
koffie-thee,39,15,koffie-thee
koken-tafelen-vrije-tijd,111,40,koken-tafelen-vrije-tijd
maaltijden-salades,217,155,maaltijden-salades
ontbijtgranen-beleg,39,16,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,541,287,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,255,135,soepen-sauzen-kruiden-olie
tussendoortjes,39,18,tussendoortjes
vegetarisch-vegan-en-plantaardig,618,251,vegetarisch-vegan-en-plantaardig
vis,682,382,vis
vlees,1414,770,vlees
vleeswaren,612,367,vleeswaren
