title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at
Mandarijnen,1.49,2.29,35,Lidl Plus (-34%),Member Deal,,https://www.lidl.nl/p/mandarijnen/p10023530,2026-02-15
Bloedsinaasappels,1.99,2.79,29,,Standard,,https://www.lidl.nl/p/bloedsinaasappels/p10023531,2026-02-15
Jonagold appels,1.29,1.69,24,,Standard,,https://www.lidl.nl/p/jonagold-appels/p10023532,2026-02-15
"Andijvie, hutspot of stamppotaardappelen",0.67,0.89,25,Lidl Plus (-24%),Member Deal,,https://www.lidl.nl/p/andijvie-hutspot-of-stamppotaardappelen/p10023533,2026-02-15
Snijbonen of sperziebonen,1.79,2.29,22,Lidl Plus (-21%),Member Deal,,https://www.lidl.nl/p/snijbonen-of-sperziebonen/p10023534,2026-02-15
Ananas,1.49,1.99,25,,Standard,,https://www.lidl.nl/p/ananas/p10023535,2026-02-15
Waspeen,0.69,0.99,30,,Standard,,https://www.lidl.nl/p/waspeen/p10023536,2026-02-15
Bio bieten,0.99,1.49,34,,Standard,,https://www.lidl.nl/p/bio-bieten/p10023537,2026-02-15
Red Pearl cocktail tomaten,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/red-pearl-cocktail-tomaten/p10023538,2026-02-15
Verspakket,3.99,5.29,25,Lidl Plus (Tot -24%),Member Deal,,https://www.lidl.nl/p/verspakket/p10023539,2026-02-15
Kipfilet naturel of gerookt,1.79,2.59,31,Lidl Plus (Tot -30%),Member Deal,,https://www.lidl.nl/p/kipfilet-naturel-of-gerookt/p10023540,2026-02-15
Zalmfilets op huid,4.99,5.99,17,Lidl Plus (-â¬1.-),Member Deal,,https://www.lidl.nl/p/zalmfilets-op-huid/p10023541,2026-02-15
Plakken Goudse 48+ jonge kaas,3.99,3.99,0,,Standard,,https://www.lidl.nl/p/plakken-goudse-48-jonge-kaas/p10023542,2026-02-15
Kaiserbroodje,0.19,0.28,32,Lidl Plus (-32%),Member Deal,,https://www.lidl.nl/p/kaiserbroodje/p10023543,2026-02-15
GrÃ¼ner Veltliner,3.29,4.39,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/gruner-veltliner/p10023544,2026-02-15
Koffie Goud,9.99,9.99,0,,Standard,,https://www.lidl.nl/p/koffie-goud/p10023545,2026-02-15
Douwe Egberts koffiecapsules,3.99,3.99,0,,Standard,,https://www.lidl.nl/p/douwe-egberts-koffiecapsules/p10023546,2026-02-15
Royal Club of Rivella,1.29,1.29,0,,Standard,,https://www.lidl.nl/p/royal-club-of-rivella/p10023547,2026-02-15
Barchetta (pizza) met kaas,2.29,2.29,0,,Standard,,https://www.lidl.nl/p/barchetta-pizza-met-kaas/p10023548,2026-02-15
Reuze mergpijpen,2.49,2.49,0,,Standard,,https://www.lidl.nl/p/reuze-mergpijpen/p10023549,2026-02-15
Koffiebroodje,0.39,0.59,34,,Standard,,https://www.lidl.nl/p/koffiebroodje/p10023550,2026-02-15
Tijgerbruin heel,0.99,1.2,17,,Standard,,https://www.lidl.nl/p/tijgerbruin-heel/p10023551,2026-02-15
Mini donuts kaneelsuiker,1.79,1.79,0,,Standard,,https://www.lidl.nl/p/mini-donuts-kaneelsuiker/p10023552,2026-02-15
Chocolade cronuts,0.99,0.99,0,,Standard,,https://www.lidl.nl/p/chocolade-cronuts/p10023553,2026-02-15
Dunkin Donuts Cheesecake Crumble,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/dunkin-donuts-cheesecake-crumble/p10023554,2026-02-15
Diverse kleinverpakkingen vlees,1.79,1.79,0,,Standard,Prijsvoorbeeld: Braadworst. Actieprijzen variÃ«ren van â¬1.79 - â¬2.99.,https://www.lidl.nl/p/diverse-kleinverpakkingen-vlees/p10023555,2026-02-15
Burgermeesterstuk (Tri-Tip),1.99,1.99,0,,Standard,Prijs per verpakking: â¬19.99 (ca. 1 kg),https://www.lidl.nl/p/burgermeesterstuk-tri-tip/p10023556,2026-02-15
Vegetarische of plantaardige schnitzels,1.67,2.09,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/vegetarische-of-plantaardige-schnitzels/p10023557,2026-02-15
Gemengd gehakt,7.99,7.99,0,,Standard,,https://www.lidl.nl/p/gemengd-gehakt/p10023558,2026-02-15
Braadworstjes Catalaanse stijl,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/braadworstjes-catalaanse-stijl/p10023559,2026-02-15
Kip-kaasschnitzels,5.99,5.99,0,,Standard,,https://www.lidl.nl/p/kip-kaasschnitzels/p10023560,2026-02-15
Speklapjes,6.99,6.99,0,,Standard,,https://www.lidl.nl/p/speklapjes/p10023561,2026-02-15
Verse friet,2.39,2.39,0,,Standard,,https://www.lidl.nl/p/verse-friet/p10023562,2026-02-15
CalvÃ©,1.69,1.69,0,,Standard,,https://www.lidl.nl/p/calve/p10023563,2026-02-15
Iglo visssticks,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/iglo-visssticks/p10023564,2026-02-15
XL kroketten,3.99,3.99,0,,Standard,,https://www.lidl.nl/p/xl-kroketten/p10023565,2026-02-15
Hamburgers,2.19,2.89,24,Lidl Plus (-24%),Member Deal,,https://www.lidl.nl/p/hamburgers/p10023566,2026-02-15
KipsatÃ©,0.99,1.65,40,Lidl Plus (Tot -40%),Member Deal,,https://www.lidl.nl/p/kipsate/p10023567,2026-02-15
2-vaks stamppotmaaltijd,2.99,3.99,25,Lidl Plus (-â¬1.-),Member Deal,,https://www.lidl.nl/p/2-vaks-stamppotmaaltijd/p10023568,2026-02-15
Mini cordon bleu of -schnitzels,3.99,3.99,0,,Standard,,https://www.lidl.nl/p/mini-cordon-bleu-of-schnitzels/p10023569,2026-02-15
Loaded fries piri piri,5.99,5.99,0,,Standard,,https://www.lidl.nl/p/loaded-fries-piri-piri/p10023570,2026-02-15
Koffiedrank,0.99,0.99,0,,Standard,,https://www.lidl.nl/p/koffiedrank/p10023571,2026-02-15
CrÃ¨me fraÃ®che,1.09,1.09,0,,Standard,,https://www.lidl.nl/p/creme-fraiche/p10023572,2026-02-15
Emmentaler,5.99,5.99,0,,Standard,,https://www.lidl.nl/p/emmentaler/p10023573,2026-02-15
Verse sap of smoothie,1.69,2.49,32,,Standard,Prijsvoorbeeld: Smoothie bosvruchten. Vanprijzen variÃ«ren van â¬2.29 - â¬2.49.,https://www.lidl.nl/p/verse-sap-of-smoothie/p10023574,2026-02-15
Stuk Goudse 48+ extra belegen kaas,4.99,4.99,0,,Standard,,https://www.lidl.nl/p/stuk-goudse-48-extra-belegen-kaas/p10023575,2026-02-15
BiFi,1.99,1.99,0,,Standard,,https://www.lidl.nl/p/bifi/p10023576,2026-02-15
Spekreepjes,2.59,2.59,0,,Standard,,https://www.lidl.nl/p/spekreepjes/p10023577,2026-02-15
Croma,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/croma/p10023578,2026-02-15
"Fanta, Fanta zero of Sprite",1.49,1.49,0,,Standard,,https://www.lidl.nl/p/fanta-fanta-zero-of-sprite/p10023579,2026-02-15
Popcorn in emmer,2.49,2.49,0,,Standard,,https://www.lidl.nl/p/popcorn-in-emmer/p10023580,2026-02-15
Vlugge Japie volkoren,1.59,1.59,0,,Standard,,https://www.lidl.nl/p/vlugge-japie-volkoren/p10023581,2026-02-15
Amandelen ongebrand,1.79,2.29,22,Lidl Plus (-21%),Member Deal,,https://www.lidl.nl/p/amandelen-ongebrand/p10023582,2026-02-15
Maltesers of M&Mâs,2.29,2.29,0,,Standard,,https://www.lidl.nl/p/maltesers-of-m-m-s/p10023583,2026-02-15
