scraped_aisle,items_found,aisle_eng
bakkerij,1200,bakery
borrel-chips-snacks,1324,drinks-chips-snacks
diepvries,1023,freezer
frisdrank-sappen-water,846,soft drinks-juices-water
fruit-verse-sappen,421,fresh fruit juices
glutenvrij,235,gluten free
groente-aardappelen,986,vegetable potatoes
huishouden,1159,households
kaas,702,cheese
koek-snoep-chocolade,2320,cookie-candy-chocolate
koffie-thee,972,coffee-tea
koken-tafelen-vrije-tijd,935,cooking-dining-free-time
maaltijden-salades,523,meals-salads
ontbijtgranen-beleg,1376,breakfast cereal toppings
pasta-rijst-wereldkeuken,1470,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2451,soups-sauces-herbs-oil
tussendoortjes,982,snacks
vegetarisch-vegan-en-plantaardig,489,vegetarian-vegan-and-plant-based
vis,383,fish
vlees,693,meat
vleeswaren,671,cold cuts
zuivel-eieren,1543,dairy eggs
