scraped_aisle,items_found
bakkerij,1203
bier-wijn-aperitieven,2242
borrel-chips-snacks,1331
diepvries,992
drogisterij,1989
frisdrank-sappen-water,1448
fruit-verse-sappen,428
gezondheid-en-sport,1253
glutenvrij,235
groente-aardappelen,991
huishouden,1124
kaas,687
koek-snoep-chocolade,2281
koffie-thee,952
koken-tafelen-vrije-tijd,931
maaltijden-salades,537
ontbijtgranen-beleg,1345
pasta-rijst-wereldkeuken,1464
soepen-sauzen-kruiden-olie,2420
tussendoortjes,947
vegetarisch-vegan-en-plantaardig,483
vis,382
vlees,668
vleeswaren,657
zuivel-eieren,1393
