scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1557,477,bakkerij
bier-wijn-aperitieven,2991,1810,bier-wijn-aperitieven
borrel-chips-snacks,2687,1328,borrel-chips-snacks
diepvries,1184,251,diepvries
drogisterij,2990,2012,drogisterij
frisdrank-sappen-water,2072,940,frisdrank-sappen-water
fruit-verse-sappen,533,260,fruit-verse-sappen
gezondheid-en-sport,1265,251,gezondheid-en-sport
glutenvrij,400,157,glutenvrij
groente-aardappelen,1094,255,groente-aardappelen
huishouden,1533,595,huishouden
kaas,1170,645,kaas
koek-snoep-chocolade,2796,987,koek-snoep-chocolade
koffie-thee,1161,472,koffie-thee
koken-tafelen-vrije-tijd,1491,662,koken-tafelen-vrije-tijd
maaltijden-salades,838,450,maaltijden-salades
ontbijtgranen-beleg,507,224,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2008,761,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1142,soepen-sauzen-kruiden-olie
tussendoortjes,1246,515,tussendoortjes
vegetarisch-vegan-en-plantaardig,615,261,vegetarisch-vegan-en-plantaardig
vis,672,355,vis
vlees,144,79,vlees
vleeswaren,1082,622,vleeswaren
zuivel-eieren,1892,842,zuivel-eieren
